Test Case,Average Time,Notation,All Move Times,Score:
1,0.09598721398,b4 b6 Bb2 g6 Bxh8 a6 Be5 c6 c4 f5 h4 Qc7 Bxc7 g5 hxg5 Bb7 Rxh7 Bh6 gxh6 Ra7 Bxb8 Bc8 Bxa7 Kd8 Rh8 d6 h7 f4 hxg8=Q+ Kc7 Qd8+ Kb7 Qxb6+ Ka8 Qxa6 e5 Qb6 e4 a3 c5 bxc5 d5 cxd5 e3 Rxc8#,"[0.06064033508300781, 0.0632333755493164, 0.058132171630859375, 0.08659696578979492, 0.14813804626464844, 0.06234574317932129, 0.09040331840515137, 0.062191009521484375, 0.12729120254516602, 0.06152677536010742, 0.16215848922729492, 0.06625938415527344, 0.2202930450439453, 0.05588102340698242, 0.1696929931640625, 0.056841373443603516, 0.14256787300109863, 0.04842376708984375, 0.2201375961303711, 0.04643368721008301, 0.16343235969543457, 0.054055213928222656, 0.1425313949584961, 0.03903913497924805, 0.10730385780334473, 0.032060861587524414, 0.06528496742248535, 0.03740119934082031, 0.24753332138061523, 0.006842613220214844, 0.3201322555541992, 0.005173206329345703, 0.2724916934967041, 0.004555702209472656, 0.13385224342346191, 0.02218031883239746, 0.10950922966003418, 0.017961978912353516, 0.12386178970336914, 0.01770782470703125, 0.11156487464904785, 0.017669200897216797, 0.15827322006225586, 0.009654045104980469, 0.0901639461517334]",0.7777777778
2,0.1079984361,g4 h5 gxh5 Rh7 e3 b6 Bb5 f6 Nh3 f5 Ba4 Ba6 d3 f4 exf4 Qc8 Na3 Nc6 Ng5 Qd8 Nxh7 e5 Bxc6 Rc8 Nxf8 Bc4 Bxd7+ Kf7 Bxc8 Qh4 Ng6 Qxf2+ Kxf2 a5 Nxe5+ Kf6 Naxc4 b5 Ng4+ Ke7 Qe2+ Kf7 Qe6+ Kf8 Nxa5 c6 Nxc6 Ne7 Qxe7+ Kg8 Kg3 b4 Nxb4 Kh8 a3 Kg8 Qc7 Kh7 h4 Kh8 d4 Kg8 Bb7 Kh7 b3 Kg8 Qe5 Kh8 d5 Kg8 Qe7 Kh8 Qf8+ Kh7 Rg1 g6 Qe7+ Kg8 Qg5 Kg7 Qxg6+ Kf8 Qc6 Kg7 Nh2 Kh7 c3 Kh8 Qa6 Kg7 a4 Kf7 Qa7 Kg8 Na6 Kg7 Ng4 Kf7 Qc5 Kg7 Ba3 Kh7 Qe3 Kg8 Qe4 Kf7 Nc7 Kg8 Ne8 Kf7 Rgd1 Kg8 Rg1 Kf7 Bc8 Kg8 Bc1 Kf7 Qe6+ Kf8 f5,"[0.06338381767272949, 0.054587602615356445, 0.12219405174255371, 0.0620579719543457, 0.07795405387878418, 0.07038712501525879, 0.11261367797851562, 0.059035301208496094, 0.12558221817016602, 0.0680396556854248, 0.1316847801208496, 0.07090902328491211, 0.10930967330932617, 0.0843048095703125, 0.17888355255126953, 0.07506251335144043, 0.1890401840209961, 0.13959288597106934, 0.1660318374633789, 0.12744450569152832, 0.23308372497558594, 0.10359764099121094, 0.1674942970275879, 0.12424278259277344, 0.27837133407592773, 0.09237909317016602, 0.304332971572876, 0.016529083251953125, 0.3877074718475342, 0.1446998119354248, 0.35480165481567383, 0.12238073348999023, 0.011655807495117188, 0.0686492919921875, 0.49790430068969727, 0.014449834823608398, 0.3713870048522949, 0.04513740539550781, 0.2346513271331787, 0.007189035415649414, 0.2731742858886719, 0.01094365119934082, 0.27854323387145996, 0.004171609878540039, 0.280564546585083, 0.03830766677856445, 0.2150256633758545, 0.026595592498779297, 0.2761044502258301, 0.004395484924316406, 0.2611057758331299, 0.021671772003173828, 0.2586097717285156, 0.027278661727905273, 0.29888200759887695, 0.02687978744506836, 0.295931339263916, 0.026607990264892578, 0.18073773384094238, 0.01877307891845703, 0.37085413932800293, 0.03023052215576172, 0.40590953826904297, 0.02044534683227539, 0.12024903297424316, 0.0075266361236572266, 0.2826364040374756, 0.025264263153076172, 0.13039755821228027, 0.007393360137939453, 0.20315170288085938, 0.015674114227294922, 0.17280912399291992, 0.004721641540527344, 0.14301347732543945, 0.00914907455444336, 0.09997200965881348, 0.015726089477539062, 0.1949775218963623, 0.015779495239257812, 0.11809539794921875, 0.007468461990356445, 0.07681393623352051, 0.015026569366455078, 0.08948540687561035, 0.01773691177368164, 0.07293033599853516, 0.010287284851074219, 0.06829714775085449, 0.009881734848022461, 0.08113312721252441, 0.016675949096679688, 0.08423495292663574, 0.018399715423583984, 0.07435393333435059, 0.01522970199584961, 0.08456897735595703, 0.014892578125, 0.07501029968261719, 0.011059999465942383, 0.09314918518066406, 0.015038013458251953, 0.09726524353027344, 0.012689828872680664, 0.11617088317871094, 0.013799428939819336, 0.123199462890625, 0.010344743728637695, 0.12852931022644043, 0.008608818054199219, 0.13364505767822266, 0.004652976989746094, 0.13152766227722168, 0.008579015731811523, 0.12988972663879395, 0.004798412322998047, 0.12839746475219727, 0.011457681655883789, 0.11801552772521973, 0.0035948753356933594, 0.043946027755737305]",0.479338843
3,0.07801746067,h3 Nc6 c3 b6 Qa4 d6 Qxc6+ Qd7 Qxa8 a5 f4 Qc6 Qxc6+ Bd7 Qa8+ Bc8 g4 b5 Qxc8#,"[0.05575728416442871, 0.05022239685058594, 0.054375410079956055, 0.06343603134155273, 0.0626838207244873, 0.10424160957336426, 0.21956276893615723, 0.008538246154785156, 0.13199567794799805, 0.07969832420349121, 0.10959458351135254, 0.07592391967773438, 0.1164393424987793, 0.005741119384765625, 0.11522650718688965, 0.002789020538330078, 0.08095169067382812, 0.051499366760253906, 0.09365463256835938]",0.7894736842
4,0.1205672046,a4 e5 h4 Na6 g3 h6 Bh3 e4 Kf1 Nb4 a5 Ke7 b3 h5 Ba3 e3 Bxb4+ Kf6 Bxf8 Ke5 Bxg7+ Ke4 Bg2+ Kf5 Bxh8 Qf8 fxe3 b6 Bxa8 d5 axb6 Qe8 bxa7 Qb5 Bxd5 Qxe2+ Nxe2 Bd7 Bxf7 Nf6 a8=Q Ke5 Bxh5 c6 c4 Be8 Bxe8 c5 Bc6 Kf5 Qc8+ Kg6 Qe6 Kh6 Bxf6 Kg6 Bd4+ Kh5 Qe8+ Kg4 Qe4+ Kh5 Ra5 Kh6 Bf6 Kh5 Bd5 Kh6 Ke1 Kh5 Qf3+ Kg6 Be5 Kh7 Kf1 Kg6 Qf6+ Kh5 e4 Kg4 Ba8 Kh5 Bc3 Kg4 Qd8 Kh5 Qe1 Kg6 Rh2 Kh7 Qe7+ Kg6 Kg2 Kh5 Ra2 Kg4 Rh1 Kh5 e5 Kg4 Ra1 Kh5 Rf1 Kg4 Rf4+ Kh5 Kf2 Kh6 Bh1 Kh5 Bc6 Kg6 Qd6+ Kh7 Qxc5 Kh6 Na3 Kh7 Ba8 Kg7 Bg2 Kg6 Ba8 Kh5 Qa5 Kh6 Bb7 Kh7 Bb2 Kg7 Qc3 Kh6 Rf5 Kh7 Nb5 Kg8 Qf3 Kg7 e6+ Kg6 e7 Kh7 Ra3 Kh6 Bc8 Kg6 Qa8 Kh6 Rf8 Kh5 Ra5 Kh6 Ra2 Kg6 Qg2 Kh7 Qa8 Kh6 Nf4 Kh7 Nd4 Kg7 Qe6 Kh7 Nh3 Kg7 e8=Q Kh7 Ra1 Kg7 Qd6 Kh7 Qaa6 Kg7 Qc7#,"[0.054488420486450195, 0.0624539852142334, 0.08374524116516113, 0.09568476676940918, 0.10352444648742676, 0.09704971313476562, 0.11195588111877441, 0.1115574836730957, 0.10475754737854004, 0.11139035224914551, 0.14007329940795898, 0.13266825675964355, 0.1233208179473877, 0.12237024307250977, 0.13921189308166504, 0.0945730209350586, 0.19232583045959473, 0.01741504669189453, 0.15310144424438477, 0.07383036613464355, 0.15770769119262695, 0.028659343719482422, 0.12118887901306152, 0.005115985870361328, 0.14219212532043457, 0.08706998825073242, 0.29186320304870605, 0.08896112442016602, 0.4038083553314209, 0.09090518951416016, 0.27698206901550293, 0.10721349716186523, 0.3840601444244385, 0.08397722244262695, 0.3987693786621094, 0.17378759384155273, 0.06851410865783691, 0.06357145309448242, 1.2343149185180664, 0.08650469779968262, 0.5884339809417725, 0.0744330883026123, 0.1855607032775879, 0.07307720184326172, 0.14359569549560547, 0.04212522506713867, 0.15886425971984863, 0.018623828887939453, 0.10517716407775879, 0.011561870574951172, 0.24338865280151367, 0.013892650604248047, 0.30124711990356445, 0.014840841293334961, 0.16261744499206543, 0.013853788375854492, 0.16869640350341797, 0.010152816772460938, 0.10433340072631836, 0.008990287780761719, 0.18442893028259277, 0.004128694534301758, 0.15070557594299316, 0.004678964614868164, 0.18506288528442383, 0.004771232604980469, 0.1335148811340332, 0.005213022232055664, 0.11867570877075195, 0.004212141036987305, 0.12073493003845215, 0.00768589973449707, 0.14890503883361816, 0.010644197463989258, 0.14044189453125, 0.008773326873779297, 0.16555547714233398, 0.010172843933105469, 0.13838624954223633, 0.004552125930786133, 0.11693668365478516, 0.0051479339599609375, 0.11136460304260254, 0.004584550857543945, 0.10629057884216309, 0.009140253067016602, 0.158797025680542, 0.01248025894165039, 0.18840456008911133, 0.01876091957092285, 0.13446927070617676, 0.013112306594848633, 0.1511523723602295, 0.009268522262573242, 0.16686177253723145, 0.014191865921020508, 0.10926532745361328, 0.004489898681640625, 0.1827237606048584, 0.01611781120300293, 0.12685608863830566, 0.008399009704589844, 0.1572425365447998, 0.015148401260375977, 0.11238288879394531, 0.004448652267456055, 0.1692640781402588, 0.009970903396606445, 0.15241217613220215, 0.009378910064697266, 0.1369915008544922, 0.010795354843139648, 0.1698465347290039, 0.013656377792358398, 0.19976282119750977, 0.025612354278564453, 0.12637901306152344, 0.024283885955810547, 0.13788676261901855, 0.023717641830444336, 0.12841558456420898, 0.022668838500976562, 0.12442445755004883, 0.017185688018798828, 0.10846066474914551, 0.007993459701538086, 0.10898208618164062, 0.018395185470581055, 0.1262831687927246, 0.02171945571899414, 0.13477778434753418, 0.019515275955200195, 0.11091065406799316, 0.011996030807495117, 0.10526371002197266, 0.022838354110717773, 0.12968873977661133, 0.014527320861816406, 0.14555764198303223, 0.02091360092163086, 0.171783447265625, 0.011838912963867188, 0.4416182041168213, 0.016557931900024414, 0.28040480613708496, 0.010248422622680664, 0.2875850200653076, 0.010818243026733398, 0.3660006523132324, 0.030049800872802734, 0.4250192642211914, 0.016739845275878906, 0.6778049468994141, 0.02983379364013672, 0.6586644649505615, 0.01725172996520996, 0.31565356254577637, 0.011052131652832031, 0.4399690628051758, 0.007112026214599609, 0.23047137260437012, 0.012661457061767578, 0.369795560836792, 0.006264925003051758, 0.19635915756225586, 0.007334470748901367, 0.2120962142944336, 0.006769895553588867, 0.16748619079589844, 0.007683992385864258, 0.21752476692199707, 0.007845640182495117, 0.239288330078125, 0.007919073104858398, 0.19986414909362793]",0.9657142857
5,0.1565011905,c3 Nh6 Qc2 Nf5 Qxf5 b6 Qh3 f6 f3 g6 Na3 h5 e3 Kf7 Qh4 f5 g3 Qe8 Bd3 Na6 Qd4 Bg7 Qd5+ e6 Qxa8 Nb8 Qxb8 g5 Qxc7 Bd4 exd4 Qe7 Rb1 Rh7 Qxc8 Kf6 Kf1 Qf7 Nh3 d5 Ra1 Kg6 Qa8 a5 Rb1 Qe7 Qg8+ Qg7 Qxe6+ Qf6 Bxf5+ Kg7 Qd7+ Qe7 Qxe7+ Kh8 Bxh7 a4 Nxg5 h4 gxh4 b5 Nxb5 a3 bxa3,"[0.0560455322265625, 0.052988529205322266, 0.05910491943359375, 0.0867760181427002, 0.12257766723632812, 0.07110953330993652, 0.15100598335266113, 0.06597471237182617, 0.08603239059448242, 0.07007956504821777, 0.07400298118591309, 0.07976889610290527, 0.0816812515258789, 0.07704567909240723, 0.10956430435180664, 0.10954046249389648, 0.15216302871704102, 0.09618043899536133, 0.14842486381530762, 0.08342814445495605, 0.32561230659484863, 0.10647940635681152, 0.34093165397644043, 0.014768362045288086, 0.3596062660217285, 0.16741108894348145, 0.19662094116210938, 0.16399884223937988, 0.20995879173278809, 0.11966061592102051, 0.380434513092041, 0.09449124336242676, 0.3001117706298828, 0.12599420547485352, 0.26117515563964844, 0.09182047843933105, 0.38930487632751465, 0.08205127716064453, 0.3140270709991455, 0.07368803024291992, 0.3699345588684082, 0.07843542098999023, 0.39841485023498535, 0.08356094360351562, 0.5072295665740967, 0.12191653251647949, 0.745708703994751, 0.028149127960205078, 0.28943777084350586, 0.006201028823852539, 0.3716423511505127, 0.007055044174194336, 0.3230125904083252, 0.02249884605407715, 0.21201205253601074, 0.012045145034790039, 0.20157837867736816, 0.016728639602661133, 0.1328737735748291, 0.009838342666625977, 0.09888720512390137, 0.004010200500488281, 0.0836336612701416, 0.004122018814086914, 0.09200882911682129]",0.9384615385
6,0.1606775249,a4 f5 d3 e6 Ra2 Ne7 Bg5 Rg8 f3 b6 h3 Bb7 Ra1 Nd5 Bxd8 Nc6 e4 Nb8 exd5 Bc5 Bxc7 Bd6 Bxd6 a6 a5 h6 axb6 a5 d4 h5 g3 Kf7 dxe6+ Kg6 e7 Kf6 Rxa5 f4 Rxa8 Rh8 Rxb8 Kg6 Rxh8 Kf7 e8=Q+ Kf6 Bxf4 Bc8 Qxc8 g6 b7 Ke7 b8=Q h4 Bg5+ Kf7 Bc4+ d5 Bxd5+ Kg7 Bxh4 g5 Rg8+ Kh6 Qe6+ Kh5 Qee8+ Kh6 Rh8+ Kg7 Qb7+ Kf6 Rh6+ Kf5 g4+ Kf4 Qef7+ Ke3 Qfe7+ Kf4 Qd6+ Ke3 Bxg5#,"[0.05739450454711914, 0.05430197715759277, 0.06322526931762695, 0.06828427314758301, 0.12868905067443848, 0.10463953018188477, 0.10023617744445801, 0.10457777976989746, 0.10795712471008301, 0.0946662425994873, 0.11075687408447266, 0.09699225425720215, 0.14698457717895508, 0.12872862815856934, 0.18776679039001465, 0.11290264129638672, 0.15230274200439453, 0.15270137786865234, 0.22172069549560547, 0.08879852294921875, 0.1747596263885498, 0.1082766056060791, 0.19637513160705566, 0.07565855979919434, 0.22606539726257324, 0.06479740142822266, 0.23410773277282715, 0.05872392654418945, 0.2319948673248291, 0.08638477325439453, 0.3079712390899658, 0.07161188125610352, 0.3064136505126953, 0.020197153091430664, 0.29183506965637207, 0.1194148063659668, 0.3756544589996338, 0.13459277153015137, 0.5597918033599854, 0.1179349422454834, 0.409121036529541, 0.10234260559082031, 0.35985517501831055, 0.05349898338317871, 0.6960632801055908, 0.004919767379760742, 0.4297177791595459, 0.06554913520812988, 0.17323660850524902, 0.047524213790893555, 0.24024629592895508, 0.05769467353820801, 0.8455822467803955, 0.07193565368652344, 0.5194888114929199, 0.019879579544067383, 0.4199965000152588, 0.014500856399536133, 0.27272748947143555, 0.007094383239746094, 0.18134021759033203, 0.0067059993743896484, 0.3022925853729248, 0.01604485511779785, 0.2521789073944092, 0.012332677841186523, 0.15508627891540527, 0.004899501800537109, 0.24281096458435059, 0.0068264007568359375, 0.24084877967834473, 0.006466388702392578, 0.26245856285095215, 0.00785374641418457, 0.14687299728393555, 0.007551431655883789, 0.17837882041931152, 0.006022453308105469, 0.13718438148498535, 0.007117748260498047, 0.1462714672088623, 0.0063741207122802734, 0.14515137672424316]",1.13253012
7,0.1519138149,Nf3 b6 Ng5 h6 Ne4 e6 a3 Na6 h3 Be7 e3 Nb4 axb4 Rb8 b5 Bf8 Rxa7 d5 Nec3 Kd7 Qe2 Bc5 g3 Ba6 bxa6 Qe7 Qb5+ Kd6 Na2 Qf6 Ke2 Ke7 Rxc7+ Kd6 Rxc5 Rh7 a7 Qg6 axb8=Q+ Ke7 Qxg8 Kd6 Qxb6+ Ke7 Rxd5 Qd3+ Rxd3 Kf6 Qxh7 Ke7 Qxg7 h5 Qb7+ Ke8 Qf6 h4 gxh4 e5 Qxe5+ Kf8 Qee7+ Kg8 Qb8+ Kh7 Qeb7 Kg7 Qe5+ Kg6 Qe8 Kf6 Qba8 Kg6 b4 Kh7 Rd7 Kg6 Rd6+ Kh7 Qxf7#,"[0.05515861511230469, 0.05494999885559082, 0.06137537956237793, 0.08057618141174316, 0.11621522903442383, 0.03988385200500488, 0.09467816352844238, 0.06425070762634277, 0.12247228622436523, 0.05824851989746094, 0.10370421409606934, 0.07565546035766602, 0.3516354560852051, 0.07728409767150879, 0.37284350395202637, 0.08018875122070312, 0.4373960494995117, 0.1110832691192627, 0.23505330085754395, 0.1366722583770752, 0.19019389152526855, 0.10827016830444336, 0.26102209091186523, 0.1220395565032959, 0.2775256633758545, 0.12823796272277832, 0.22848010063171387, 0.012961626052856445, 0.4182713031768799, 0.11976337432861328, 0.4792194366455078, 0.1336205005645752, 0.34716296195983887, 0.010854244232177734, 0.39333128929138184, 0.1159219741821289, 0.29567885398864746, 0.13525986671447754, 0.5196750164031982, 0.004757404327392578, 0.39737868309020996, 0.1092524528503418, 0.35327816009521484, 0.024630308151245117, 0.41086602210998535, 0.11947917938232422, 0.07826519012451172, 0.059812307357788086, 0.34485626220703125, 0.02472686767578125, 0.1496138572692871, 0.013616800308227539, 0.13653087615966797, 0.004959583282470703, 0.19243359565734863, 0.014363765716552734, 0.20570135116577148, 0.0082244873046875, 0.1279895305633545, 0.004621744155883789, 0.21968817710876465, 0.008223295211791992, 0.2172682285308838, 0.009794950485229492, 0.17400646209716797, 0.01684713363647461, 0.19901061058044434, 0.025979280471801758, 0.24709296226501465, 0.027716875076293945, 0.1515491008758545, 0.013471841812133789, 0.16609835624694824, 0.026988983154296875, 0.20336174964904785, 0.014222145080566406, 0.20040082931518555, 0.02210831642150879, 0.24518847465515137]",0.7848101266
8,0.145408447,b4 b6 Bb2 a6 c4 f6 Bd4 Nc6 Bc3 Ra7 h4 e6 a3 h5 e4 Nh6 Qxh5+ Ke7 g3 Rg8 Kd1 Ne5 Bxe5 g6 Bxf6+ Ke8 Qxh6 d6 Qxf8+ Kd7 Qf7+ Kc6 b5+ Kb7 bxa6+ Kb8 Bxd8 Rh8 Bxc7+ Ka8 Qf6 g5 Bxb6 Rg7 Qxg7 Bd7 Qxh8+ Be8 hxg5 d5 exd5 Kb8 dxe6 Kc8 a7 Kb7 Qxe8 Ka6 c5+ Kb7 Ne2 Ka6 Nd4+ Kb7 a8=Q#,"[0.0577855110168457, 0.05593466758728027, 0.059710025787353516, 0.09434199333190918, 0.08547830581665039, 0.08319377899169922, 0.10495471954345703, 0.07361721992492676, 0.1279006004333496, 0.09453415870666504, 0.10283422470092773, 0.09183025360107422, 0.13462448120117188, 0.12300515174865723, 0.1311960220336914, 0.14327311515808105, 0.20963072776794434, 0.014960289001464844, 0.24321532249450684, 0.08814167976379395, 0.26099586486816406, 0.08513545989990234, 0.26309990882873535, 0.06337356567382812, 0.2435302734375, 0.018411874771118164, 0.34225010871887207, 0.09461474418640137, 0.3029038906097412, 0.013500213623046875, 0.22370481491088867, 0.010762929916381836, 0.38225769996643066, 0.015414237976074219, 0.38945722579956055, 0.023520231246948242, 0.4463350772857666, 0.07163739204406738, 0.21908259391784668, 0.0070879459381103516, 0.31955409049987793, 0.0772712230682373, 0.2760317325592041, 0.10837483406066895, 0.36750340461730957, 0.06437516212463379, 0.5351166725158691, 0.011521100997924805, 0.2562596797943115, 0.02281022071838379, 0.4034712314605713, 0.022051334381103516, 0.4117739200592041, 0.015113353729248047, 0.1690361499786377, 0.005613803863525391, 0.4234192371368408, 0.007317781448364258, 0.1490490436553955, 0.004032135009765625, 0.05208873748779297, 0.0037107467651367188, 0.09090566635131836, 0.005457401275634766, 0.05245208740234375]",2.184615385
